name,time,blockused,fileset
quota,1554391613000000000,57287444224,dr
quota,1554391613000000000,0,qserv
quota,1554391613000000000,1903166080,software
quota,1554391613000000000,26784512,kubernetes
quota,1554391613000000000,12034831616,backups
quota,1554391613000000000,1792,nfsroot
quota,1554391613000000000,24487725440,home
quota,1554391613000000000,9437184,ces
quota,1554391613000000000,14905480448,backups_lsst-db
quota,1554391613000000000,0,dedicated
quota,1554391613000000000,423635200,jhome
quota,1554391613000000000,27720320,sui
quota,1554391613000000000,171010560,root
quota,1554391613000000000,3749353088,backups_lsst-dev-db
quota,1554391613000000000,0,lsp
quota,1554391613000000000,297634324480,project
quota,1554391613000000000,76185306368,backups_system
quota,1554391613000000000,1265868289152,datasets
quota,1554434812000000000,76185306368,backups_system
quota,1554434812000000000,1265868289152,datasets
quota,1554434812000000000,14905480448,backups_lsst-db
quota,1554434812000000000,12034831616,backups
quota,1554434812000000000,57287444224,dr
quota,1554434812000000000,175096997504,scratch
quota,1554434812000000000,167640747648,objects
quota,1554434812000000000,26784512,kubernetes
quota,1554434812000000000,0,qserv
quota,1554434812000000000,1903166080,software
quota,1554434812000000000,9437184,ces
quota,1554434812000000000,1792,nfsroot
quota,1554434812000000000,24487725440,home
quota,1554434812000000000,297634324480,project
quota,1554434812000000000,27720320,sui
quota,1554434812000000000,0,dedicated
quota,1554434812000000000,423635200,jhome
quota,1554434812000000000,0,lsp
quota,1554434812000000000,171010560,root
quota,1554434812000000000,3749353088,backups_lsst-dev-db
quota,1554478013000000000,171044224,root
quota,1554478013000000000,3749353088,backups_lsst-dev-db
quota,1554478013000000000,9437184,ces
quota,1554478013000000000,167640747648,objects
quota,1554478013000000000,14905046272,backups_lsst-db
quota,1554478013000000000,76688955520,backups_system
quota,1554478013000000000,1265869067520,datasets
quota,1554478013000000000,175096997504,scratch
quota,1554478013000000000,12034831616,backups
quota,1554478013000000000,57225812096,dr
quota,1554478013000000000,1903166080,software
quota,1554478013000000000,26784128,kubernetes
quota,1554478013000000000,0,qserv
quota,1554478013000000000,0,lsp
quota,1554478013000000000,298226679680,project
quota,1554478013000000000,1792,nfsroot
quota,1554478013000000000,24666705536,home
quota,1554478013000000000,424054784,jhome
quota,1554478013000000000,27720320,sui
quota,1554478013000000000,0,dedicated
quota,1554521212000000000,27720320,sui
quota,1554521212000000000,0,dedicated
quota,1554521212000000000,1903166080,software
quota,1554521212000000000,1265869067520,datasets
quota,1554521212000000000,9437184,ces
quota,1554521212000000000,171044224,root
quota,1554521212000000000,3749353088,backups_lsst-dev-db
quota,1554521212000000000,76688955520,backups_system
quota,1554521212000000000,167640747648,objects
quota,1554521212000000000,14905046272,backups_lsst-db
quota,1554521212000000000,57225812096,dr
quota,1554521212000000000,175096997504,scratch
quota,1554521212000000000,12034831616,backups
quota,1554521212000000000,424054784,jhome
quota,1554521212000000000,0,lsp
quota,1554521212000000000,26784128,kubernetes
quota,1554521212000000000,0,qserv
quota,1554521212000000000,24666705536,home
quota,1554521212000000000,298226679680,project
quota,1554521212000000000,1792,nfsroot
quota,1554564416000000000,300198271488,project
quota,1554564416000000000,1792,nfsroot
quota,1554564416000000000,57197895424,dr
quota,1554564416000000000,3749353088,backups_lsst-dev-db
quota,1554564416000000000,1909527680,software
quota,1554564416000000000,27720320,sui
quota,1554564416000000000,0,dedicated
quota,1554564416000000000,171044096,root
quota,1554564416000000000,1265869067520,datasets
quota,1554564416000000000,9437184,ces
quota,1554564416000000000,14905068416,backups_lsst-db
quota,1554564416000000000,77462552192,backups_system
quota,1554564416000000000,167640747648,objects
quota,1554564416000000000,24697645056,home
quota,1554564416000000000,424175360,jhome
quota,1554564416000000000,175096997504,scratch
quota,1554564416000000000,12034831616,backups
quota,1554564416000000000,0,qserv
quota,1554564416000000000,0,lsp
quota,1554564416000000000,26784128,kubernetes
quota,1554607612000000000,0,lsp
quota,1554607612000000000,26784128,kubernetes
quota,1554607612000000000,14905068416,backups_lsst-db
quota,1554607612000000000,0,dedicated
quota,1554607612000000000,57197895424,dr
quota,1554607612000000000,300198271488,project
quota,1554607612000000000,1792,nfsroot
quota,1554607612000000000,27720320,sui
quota,1554607612000000000,3749353088,backups_lsst-dev-db
quota,1554607612000000000,1909527680,software
quota,1554607612000000000,9437184,ces
quota,1554607612000000000,171044096,root
quota,1554607612000000000,1265869067520,datasets
quota,1554607612000000000,0,qserv
quota,1554607612000000000,24697645056,home
quota,1554607612000000000,77462552192,backups_system
quota,1554607612000000000,167640747648,objects
quota,1554607612000000000,12034831616,backups
quota,1554607612000000000,424175360,jhome
quota,1554607612000000000,175096997504,scratch
quota,1554650813000000000,424175872,jhome
quota,1554650813000000000,175096997504,scratch
quota,1554650813000000000,57190080896,dr
quota,1554650813000000000,0,dedicated
quota,1554650813000000000,26784128,kubernetes
quota,1554650813000000000,0,lsp
quota,1554650813000000000,77940404096,backups_system
quota,1554650813000000000,24709987328,home
quota,1554650813000000000,1271109698816,datasets
quota,1554650813000000000,171125632,root
quota,1554650813000000000,3749353088,backups_lsst-dev-db
quota,1554650813000000000,27720320,sui
quota,1554650813000000000,301068815360,project
quota,1554650813000000000,14907199488,backups_lsst-db
quota,1554650813000000000,167640747648,objects
quota,1554650813000000000,0,qserv
quota,1554650813000000000,1915668480,software
quota,1554650813000000000,1792,nfsroot
